id, property
374 , http://dbpedia.org/ontology/Engine/acceleration
375 , http://dbpedia.org/ontology/Engine/co2Emission
376 , http://dbpedia.org/ontology/Engine/cylinderBore
377 , http://dbpedia.org/ontology/Engine/diameter
378 , http://dbpedia.org/ontology/Engine/displacement
379 , http://dbpedia.org/ontology/Engine/height
380 , http://dbpedia.org/ontology/Engine/length
381 , http://dbpedia.org/ontology/Engine/pistonStroke
382 , http://dbpedia.org/ontology/Engine/powerOutput
383 , http://dbpedia.org/ontology/Engine/topSpeed
384 , http://dbpedia.org/ontology/Engine/torqueOutput
385 , http://dbpedia.org/ontology/Engine/weight
386 , http://dbpedia.org/ontology/Engine/width
387 , http://dbpedia.org/ontology/Escalator/diameter
388 , http://dbpedia.org/ontology/Escalator/height
389 , http://dbpedia.org/ontology/Escalator/length
390 , http://dbpedia.org/ontology/Escalator/mass
391 , http://dbpedia.org/ontology/Escalator/weight
392 , http://dbpedia.org/ontology/Escalator/width
393 , http://dbpedia.org/ontology/EthnicGroup/language
394 , http://dbpedia.org/ontology/EthnicGroup/populationPlace
395 , http://dbpedia.org/ontology/EthnicGroup/related
396 , http://dbpedia.org/ontology/EthnicGroup/religion
397 , http://dbpedia.org/ontology/EthnicGroup/totalPopulation
398 , http://dbpedia.org/ontology/Event/country
399 , http://dbpedia.org/ontology/Event/date
400 , http://dbpedia.org/ontology/Event/endDate
401 , http://dbpedia.org/ontology/Event/followingEvent
402 , http://dbpedia.org/ontology/Event/genre
403 , http://dbpedia.org/ontology/Event/location
404 , http://dbpedia.org/ontology/Event/previousEvent
405 , http://dbpedia.org/ontology/Event/startDate
406 , http://dbpedia.org/ontology/FigureSkater/choreographer
407 , http://dbpedia.org/ontology/FigureSkater/coach
408 , http://dbpedia.org/ontology/FigureSkater/country
409 , http://dbpedia.org/ontology/FigureSkater/currentPartner
410 , http://dbpedia.org/ontology/FigureSkater/formerChoreographer
411 , http://dbpedia.org/ontology/FigureSkater/formerCoach
412 , http://dbpedia.org/ontology/FigureSkater/formerPartner
413 , http://dbpedia.org/ontology/FigureSkater/skatingClub
414 , http://dbpedia.org/ontology/Film/amgid
415 , http://dbpedia.org/ontology/Film/budget
416 , http://dbpedia.org/ontology/Film/cinematography
417 , http://dbpedia.org/ontology/Film/country
418 , http://dbpedia.org/ontology/Film/director
419 , http://dbpedia.org/ontology/Film/distributor
420 , http://dbpedia.org/ontology/Film/editing
421 , http://dbpedia.org/ontology/Film/gross
422 , http://dbpedia.org/ontology/Film/imdbid
423 , http://dbpedia.org/ontology/Film/music
424 , http://dbpedia.org/ontology/Film/narrator
425 , http://dbpedia.org/ontology/Film/producer
426 , http://dbpedia.org/ontology/Film/starring
427 , http://dbpedia.org/ontology/Film/writer
