Infobox_station,ADA,Ficha_de_estación,pasajeros,dbo:isHandicappedAccessible,dbo:passengersPerYear,Correctly different mappings,xsd:boolean,xsd:nonNegativeInteger,0.0805,0.9483,0.908,0,174,14,165,158,0,174,174
Infobox_company,revenue,Ficha_de_organización,ingresos,dbo:revenue,dbo:operatingIncome,Wrong Mapping - Ontology Issue,xsd:double,xsd:double,0.0449,0.5096,0.6346,0.4391,312,14,159,198,137,312,312
Infobox_color,y,Ficha_de_color,k,dbo:cmykCoordinateYellow,dbo:cmykCoordinateBlack,Correctly different mappings,xsd:integer,xsd:integer,0.2979,0.7021,0.8511,0.6809,47,14,33,40,32,47,47
Infobox_road,length_mi,Ficha_de_vía_de_transporte,largo,dbo:length,dbo:lineLength,Correct - Can be specialized,xsd:double,xsd:double,0.0133,0.8382,0,0,1051,14,881,0,0,1051,1051
Infobox_settlement,postal_code,Ficha_de_entidad_subnacional,prefijo_telefónico_nombre,dbo:postalCode,dbo:areaCode,Correctly different mappings,xsd:string,xsd:string,0.0005,0.8723,0.9179,0.8453,26085,14,22755,23943,22050,26085,26085
Infobox_color,b,Ficha_de_color,b,dbo:rgbCoordinateBlue,dbo:rgbCoordinateGreen,Wrong Mapping - Mapping Issue,xsd:nonNegativeInteger,xsd:nonNegativeInteger,0.2203,0.7797,0.9153,0.9661,59,13,46,54,57,59,59
Infobox_color,k,Ficha_de_color,c,dbo:cmykCoordinateBlack,dbo:cmykCoordinateCyanic,Correctly different mappings,xsd:integer,xsd:integer,0.2766,0.7234,0.766,0.7234,47,13,34,36,34,47,47
Infobox_color,g,Ficha_de_color,g,dbo:rgbCoordinateGreen,dbo:rgbCoordinateBlue,Wrong Mapping - Mapping Issue,xsd:nonNegativeInteger,xsd:nonNegativeInteger,0.2203,0.7797,0.9153,0.9661,59,13,46,54,57,59,59
Infobox_Olympics_Switzerland,bronze,Ficha_de_país_en_los_Juegos_Olímpicos,oro,dbo:numberOfBronzeMedalsWon,dbo:numberOfGoldMedalsWon,Correctly different mappings,xsd:nonNegativeInteger,xsd:nonNegativeInteger,0.2667,0.7333,0.7333,0.7333,45,12,33,33,33,45,45
Infobox_Olympics_Belgium,gold,Ficha_de_país_en_los_Juegos_Olímpicos,plata,dbo:numberOfGoldMedalsWon,dbo:numberOfSilverMedalsWon,Correctly different mappings,xsd:nonNegativeInteger,xsd:nonNegativeInteger,0.4444,0.5556,0.5556,0.5556,27,12,15,15,15,27,27
