dbo:country,dbo:region,dbo:AdministrativeRegion,dbo:City,,,dbo:Country,dbo:Place,
dbo:birthPlace,dbo:deathPlace,dbo:Writer,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:developer,dbo:computingMedia,dbo:VideoGame,dbo:VideoGame,,dbo:Software,dbo:Agent,,
dbo:birthPlace,dbo:successor,dbo:Noble,,dbo:Person,,dbo:Place,,
dbo:formerTeam,dbo:youthClub,dbo:Athlete,dbo:SoccerPlayer,dbo:Athlete,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,
dbo:genre,dbo:founder,dbo:MusicalArtist,dbo:Band,,,dbo:Genre,dbo:Person,
dbo:nationalTeam,dbo:birthPlace,dbo:Athlete,dbo:BasketballPlayer,dbo:Athlete,dbo:Person,dbo:SportsTeam,dbo:Place,
dbo:recordLabel,dbo:bandMember,dbo:MusicalArtist,dbo:Band,,dbo:Band,dbo:RecordLabel,dbo:Person,
dbo:deathPlace,dbo:personFunction,dbo:Noble,,dbo:Person,dbo:Person,dbo:Place,dbo:PersonFunction,
dbo:nationality,dbo:managerClub,dbo:Athlete,dbo:SoccerPlayer,dbo:Person,dbo:Athlete,dbo:Country,dbo:SportsTeam,
dbo:nationality,dbo:trainerClub,dbo:Athlete,dbo:SoccerPlayer,dbo:Person,dbo:SoccerPlayer,dbo:Country,dbo:SportsTeam,
dbo:languageFamily,dbo:spokenIn,dbo:Language,dbo:Language,dbo:Language,dbo:Language,,dbo:PopulatedPlace,
dbo:birthPlace,dbo:personFunction,dbo:Noble,,dbo:Person,dbo:Person,dbo:Place,dbo:PersonFunction,
dbo:city,dbo:locationCity,dbo:University,dbo:University,,dbo:Organisation,dbo:City,dbo:City,
dbo:writer,dbo:musicalArtist,dbo:Single,dbo:Single,dbo:Work,dbo:Single,dbo:Person,dbo:MusicalArtist,
dbo:cinematography,dbo:producer,dbo:Film,dbo:Film,dbo:Film,dbo:Work,dbo:Person,dbo:Agent,
dbo:country,dbo:province,dbo:Municipality,dbo:Settlement,,dbo:Place,dbo:Country,dbo:Province,
dbo:format,dbo:computingInput,dbo:VideoGame,dbo:VideoGame,,dbo:Software,,,
dbo:deathPlace,dbo:birthPlace,dbo:Writer,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:award,dbo:birthPlace,dbo:Scientist,dbo:Person,,dbo:Person,dbo:Award,dbo:Place,
dbo:mountainRange,dbo:locatedInArea,dbo:Mountain,dbo:Mountain,dbo:Mountain,dbo:Place,dbo:MountainRange,dbo:Place,
dbo:subsequentWork,dbo:musicalArtist,dbo:Single,dbo:Single,dbo:Work,dbo:Single,dbo:Work,dbo:MusicalArtist,
dbo:province,dbo:locatedInArea,dbo:Municipality,dbo:Settlement,dbo:Place,dbo:Place,dbo:Province,dbo:Place,
dbo:country,dbo:deathPlace,dbo:Scientist,dbo:Person,,dbo:Person,dbo:Country,dbo:Place,
dbo:parent,dbo:predecessor,dbo:Noble,,dbo:Person,,dbo:Person,,
dbo:producer,dbo:album,dbo:Single,dbo:Single,dbo:Work,,dbo:Agent,dbo:Album,
dbo:distributor,dbo:computingPlatform,dbo:VideoGame,dbo:VideoGame,,dbo:Software,dbo:Organisation,,
dbo:province,dbo:region,dbo:Municipality,dbo:Settlement,dbo:Place,,dbo:Province,dbo:Place,
dbo:location,dbo:locationCity,dbo:Organisation,dbo:Company,,dbo:Organisation,dbo:Place,dbo:City,
dbo:location,dbo:locationCountry,dbo:Organisation,dbo:Company,,,dbo:Place,dbo:Country,
dbo:birthPlace,dbo:deathPlace,dbo:Athlete,dbo:SoccerPlayer,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:producer,dbo:musicalArtist,dbo:Single,dbo:Single,dbo:Work,dbo:Single,dbo:Agent,dbo:MusicalArtist,
dbo:nationality,dbo:deathPlace,dbo:Writer,dbo:Person,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:formerTeam,dbo:club,dbo:Athlete,dbo:BasketballPlayer,dbo:Athlete,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,
dbo:parent,dbo:successor,dbo:Noble,,dbo:Person,,dbo:Person,,
dbo:nationality,dbo:deathPlace,dbo:Writer,dbo:Person,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:event,dbo:location,dbo:Stadium,dbo:Stadium,,,dbo:Event,dbo:Place,
dbo:musicalArtist,dbo:author,dbo:Single,dbo:Single,dbo:Single,dbo:Work,dbo:MusicalArtist,dbo:Person,
dbo:aircraftUser,dbo:manufacturer,dbo:Aircraft,dbo:Aircraft,dbo:Aircraft,,dbo:Organisation,dbo:Organisation,
dbo:type,dbo:region,dbo:AdministrativeRegion,dbo:City,,,,dbo:Place,
dbo:developer,foaf:page,dbo:Software,dbo:Software,,,dbo:Agent,,
dbo:birthPlace,dbo:deathPlace,dbo:Athlete,dbo:SoccerPlayer,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:developer,dbo:operatingSystem,dbo:Software,dbo:Software,,dbo:Software,dbo:Agent,,
dbo:creator,dbo:channel,dbo:TelevisionShow,dbo:TelevisionShow,,,dbo:Agent,dbo:Broadcaster,
dbo:hometown,dbo:deathPlace,dbo:MusicalArtist,dbo:Person,dbo:Agent,dbo:Person,dbo:Settlement,dbo:Place,
dbo:programmingLanguage,dbo:license,dbo:Software,dbo:Software,dbo:Software,dbo:Work,,,
dbo:country,dbo:locatedInArea,dbo:BodyOfWater,dbo:Lake,,dbo:Place,dbo:Country,dbo:Place,
dbo:birthPlace,dbo:deathPlace,dbo:Saint,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
